article,canonical_service_catalog_item_id,duplicate_service_catalog_item_id,row_role,name,folder_path,category,source_url,base_price,is_active,is_calculable,description_length,full_description_length,rules_parse_status,reason,duplicate_kind,duplicate_group_size,group_risk
53379,9ee208ce-5507-4e65-8279-be0b7f9eec0e,f283e03d-0032-430d-861c-1dcdd240db11,duplicate,"Крайкування ручне вирізів, вікон стяжок (плит ВГ та ГТ)",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_styazhek_ruchnoe_vyrezov_okon_plit_vysok_glyantsa_i_glub_tekst_/,471.96,True,True,33,407,parsed,duplicate of 9ee208ce-5507-4e65-8279-be0b7f9eec0e,identical,3,low
53379,9ee208ce-5507-4e65-8279-be0b7f9eec0e,f337e27f-cb45-4850-8eb9-5a259ee9b27a,duplicate,"Крайкування ручне вирізів, вікон стяжок (плит ВГ та ГТ)",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_styazhek_ruchnoe_vyrezov_okon_plit_vysok_glyantsa_i_glub_tekst_/,471.96,True,True,33,407,parsed,duplicate of 9ee208ce-5507-4e65-8279-be0b7f9eec0e,identical,3,low
54116,76310a3f-7277-43cf-8dbb-590603713167,76310a3f-7277-43cf-8dbb-590603713167,canonical,Фрезерування кромки №1 - Плоске з обробкою (заріз до 450мм) (МебЩит),viyar-services/frezerovka,milling,https://viyar.ua/ua/catalog/frezerovanie_kromki_1_ploskoe_s_obrabotkoy_zarezy_do_450mm_mebshchit/,49.98,True,True,236,0,no_full_description,active; smallest id among highest-ranked rows,identical,2,low
54116,76310a3f-7277-43cf-8dbb-590603713167,fcda3058-92d9-410c-a9a8-c93f983db8ac,duplicate,Фрезерування кромки №1 - Плоске з обробкою (заріз до 450мм) (МебЩит),viyar-services/frezerovka,milling,https://viyar.ua/ua/catalog/frezerovanie_kromki_1_ploskoe_s_obrabotkoy_zarezy_do_450mm_mebshchit/,49.98,True,True,236,0,no_full_description,duplicate of 76310a3f-7277-43cf-8dbb-590603713167,identical,2,low
61778,37b34270-ae0f-4185-8478-e76017f74df7,37b34270-ae0f-4185-8478-e76017f74df7,canonical,"Крайкування ручне вирізів, вікон білим клеєм (плит ВГ та ГТ)",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_vyrezov_okon_belym_kleem_plit_vys_glyantsa_i_glub_tekst_/,300.0,True,True,33,423,parsed,active; has full_description; rules_parse_status=parsed; smallest id among highest-ranked rows,identical,2,low
61778,37b34270-ae0f-4185-8478-e76017f74df7,a26bb2a7-cfce-41da-a57d-f69eaade48f8,duplicate,"Крайкування ручне вирізів, вікон білим клеєм (плит ВГ та ГТ)",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_vyrezov_okon_belym_kleem_plit_vys_glyantsa_i_glub_tekst_/,300.0,True,True,33,423,parsed,duplicate of 37b34270-ae0f-4185-8478-e76017f74df7,identical,2,low
61779,f4af9537-7d42-4a26-838b-dedc932bae64,f4af9537-7d42-4a26-838b-dedc932bae64,canonical,"Крайкування ручне вирізів, вікон білим клеєм",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_vyrezov_okon_belym_kleem/,255.96,True,True,33,387,parsed,active; has full_description; rules_parse_status=parsed; smallest id among highest-ranked rows,identical,2,low
61779,f4af9537-7d42-4a26-838b-dedc932bae64,fc5e1ba8-be39-4c27-8160-3818d86dbb20,duplicate,"Крайкування ручне вирізів, вікон білим клеєм",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_vyrezov_okon_belym_kleem/,255.96,True,True,33,387,parsed,duplicate of f4af9537-7d42-4a26-838b-dedc932bae64,identical,2,low
61780,588ae195-f1eb-4bdd-8de7-cfc31856b628,588ae195-f1eb-4bdd-8de7-cfc31856b628,canonical,"Крайкування ручне вирізів, вікон стяжок білим клеєм (плит ВГ та ГТ)",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_vyrezov_okon_styazhek_belym_kleem_plit_vys_glyantsa_i_glub_tekst_/,471.96,True,True,33,407,parsed,active; has full_description; rules_parse_status=parsed; smallest id among highest-ranked rows,identical,2,low
61780,588ae195-f1eb-4bdd-8de7-cfc31856b628,f72a4ae5-0606-4fd3-acf7-b07701129312,duplicate,"Крайкування ручне вирізів, вікон стяжок білим клеєм (плит ВГ та ГТ)",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_vyrezov_okon_styazhek_belym_kleem_plit_vys_glyantsa_i_glub_tekst_/,471.96,True,True,33,407,parsed,duplicate of 588ae195-f1eb-4bdd-8de7-cfc31856b628,identical,2,low
61781,3a1b869c-533c-4121-bf6c-c3a015d42b8f,3a1b869c-533c-4121-bf6c-c3a015d42b8f,canonical,"Крайкування ручне вирізів, вікон стяжок білим клеєм",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_vyrezov_okon_styazhek_belym_kleem/,381.96,True,True,33,407,parsed,active; has full_description; rules_parse_status=parsed; smallest id among highest-ranked rows,identical,2,low
61781,3a1b869c-533c-4121-bf6c-c3a015d42b8f,d94e0190-44db-4296-b44f-f5bcc9018c64,duplicate,"Крайкування ручне вирізів, вікон стяжок білим клеєм",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_vyrezov_okon_styazhek_belym_kleem/,381.96,True,True,33,407,parsed,duplicate of 3a1b869c-533c-4121-bf6c-c3a015d42b8f,identical,2,low
61782,8deed07b-e9e8-439e-95d8-2bbc51a22ad6,8deed07b-e9e8-439e-95d8-2bbc51a22ad6,canonical,"Крайкування ручне вирізів, вікон мінім. білим клеєм (плит ВГ та ГТ)",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_vyrezov_okon_minim_belym_kleem_plit_vys_glyantsa_i_glub_tekst_/,300.0,True,True,33,363,parsed,active; has full_description; rules_parse_status=parsed; smallest id among highest-ranked rows,identical,2,low
61782,8deed07b-e9e8-439e-95d8-2bbc51a22ad6,a60062b8-32ed-4b43-a1bd-0463b79222aa,duplicate,"Крайкування ручне вирізів, вікон мінім. білим клеєм (плит ВГ та ГТ)",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_vyrezov_okon_minim_belym_kleem_plit_vys_glyantsa_i_glub_tekst_/,300.0,True,True,33,363,parsed,duplicate of 8deed07b-e9e8-439e-95d8-2bbc51a22ad6,identical,2,low
61783,a6cdb603-a769-4319-a23b-f6504ef02b5d,a6cdb603-a769-4319-a23b-f6504ef02b5d,canonical,"Крайкування ручне вирізів, вікон мінім. білим клеєм",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_vyrezov_okon_minim_belym_kleem/,255.96,True,True,33,386,parsed,active; has full_description; rules_parse_status=parsed; smallest id among highest-ranked rows,identical,2,low
61783,a6cdb603-a769-4319-a23b-f6504ef02b5d,ea384dfc-d5a5-45b7-b142-80cc5e04916d,duplicate,"Крайкування ручне вирізів, вікон мінім. білим клеєм",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_vyrezov_okon_minim_belym_kleem/,255.96,True,True,33,386,parsed,duplicate of a6cdb603-a769-4319-a23b-f6504ef02b5d,identical,2,low
61784,271f58fa-0b9f-4178-be08-2b5a07cc056e,271f58fa-0b9f-4178-be08-2b5a07cc056e,canonical,"Крайкування ручне вирізів, вікон стяжок мінім. білим клеєм (плит ВГ та ГТ)",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_vyrezov_okon_styazhek_minim_belym_kleem_plit_vys_glyantsa_i_glub_tekst_/,471.96,True,True,33,376,parsed,active; has full_description; rules_parse_status=parsed; smallest id among highest-ranked rows,identical,2,low
61784,271f58fa-0b9f-4178-be08-2b5a07cc056e,66a3d129-0c08-4809-a0d0-0e9eaa9f3df0,duplicate,"Крайкування ручне вирізів, вікон стяжок мінім. білим клеєм (плит ВГ та ГТ)",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_vyrezov_okon_styazhek_minim_belym_kleem_plit_vys_glyantsa_i_glub_tekst_/,471.96,True,True,33,376,parsed,duplicate of 271f58fa-0b9f-4178-be08-2b5a07cc056e,identical,2,low
61785,7b613495-1efe-48f1-b7aa-f952fc0e7d6f,7b613495-1efe-48f1-b7aa-f952fc0e7d6f,canonical,"Крайкування ручне вирізів, вікон стяжок мінім. білим клеєм",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_vyrezov_okon_styazhek_minim_belym_kleem/,381.96,True,True,33,376,parsed,active; has full_description; rules_parse_status=parsed; smallest id among highest-ranked rows,identical,2,low
61785,7b613495-1efe-48f1-b7aa-f952fc0e7d6f,c6970467-1df7-42c8-b295-e1f25192e839,duplicate,"Крайкування ручне вирізів, вікон стяжок мінім. білим клеєм",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_vyrezov_okon_styazhek_minim_belym_kleem/,381.96,True,True,33,376,parsed,duplicate of 7b613495-1efe-48f1-b7aa-f952fc0e7d6f,identical,2,low
61786,90947357-e16e-44a2-bf23-0d0869647360,90947357-e16e-44a2-bf23-0d0869647360,canonical,"Крайкування кутів, радіусів білим клеєм (плит вис. глянцю та глиб. текстури)",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_uglov_radiusov_belym_kleem_plit_vys_glyantsa_i_glub_tekst_/,138.96,True,True,33,523,parsed,active; has full_description; rules_parse_status=parsed; smallest id among highest-ranked rows,identical,2,low
61786,90947357-e16e-44a2-bf23-0d0869647360,eaf603b8-be6c-485e-bf71-db5eb6fbd230,duplicate,"Крайкування кутів, радіусів білим клеєм (плит вис. глянцю та глиб. текстури)",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_uglov_radiusov_belym_kleem_plit_vys_glyantsa_i_glub_tekst_/,138.96,True,True,33,523,parsed,duplicate of 90947357-e16e-44a2-bf23-0d0869647360,identical,2,low
61787,992e8092-1732-4f4b-ad58-e0915d4777e3,992e8092-1732-4f4b-ad58-e0915d4777e3,canonical,"Крайкування кутів, радіусів білим клеєм",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_uglov_radiusov_belym_kleem/,111.96,True,True,33,452,parsed,active; has full_description; rules_parse_status=parsed; smallest id among highest-ranked rows,identical,2,low
61787,992e8092-1732-4f4b-ad58-e0915d4777e3,d988d31d-d033-4e8e-8c63-f8245deeef8d,duplicate,"Крайкування кутів, радіусів білим клеєм",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_uglov_radiusov_belym_kleem/,111.96,True,True,33,452,parsed,duplicate of 992e8092-1732-4f4b-ad58-e0915d4777e3,identical,2,low
61788,99a705b3-ee36-4266-ad60-1c479d91106d,99a705b3-ee36-4266-ad60-1c479d91106d,canonical,"Крайкування кутів, радіусів пластиком білим клеєм",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_uglov_radiusov_plastikom_belym_kleem/,424.98,True,True,33,480,parsed,active; has full_description; rules_parse_status=parsed; smallest id among highest-ranked rows,identical,2,low
61788,99a705b3-ee36-4266-ad60-1c479d91106d,e049dffb-85c4-44ff-aa97-d1ca80b62672,duplicate,"Крайкування кутів, радіусів пластиком білим клеєм",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_uglov_radiusov_plastikom_belym_kleem/,424.98,True,True,33,480,parsed,duplicate of 99a705b3-ee36-4266-ad60-1c479d91106d,identical,2,low
61789,1a44fa7e-0440-43d6-b9e2-e4ee3a923b13,1a44fa7e-0440-43d6-b9e2-e4ee3a923b13,canonical,"Крайкування кутів, радіусів стільниць білим клеєм",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_uglov_radiusov_stoleshnits_belym_kleem/,211.98,True,True,33,0,no_full_description,active; smallest id among highest-ranked rows,identical,2,low
61789,1a44fa7e-0440-43d6-b9e2-e4ee3a923b13,3ebf31a3-d9ae-4f70-ab96-9b66e6bf582c,duplicate,"Крайкування кутів, радіусів стільниць білим клеєм",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_uglov_radiusov_stoleshnits_belym_kleem/,211.98,True,True,33,0,no_full_description,duplicate of 1a44fa7e-0440-43d6-b9e2-e4ee3a923b13,identical,2,low
61790,8a129fee-3036-4e7b-b26b-0688f60c622b,8a129fee-3036-4e7b-b26b-0688f60c622b,canonical,"Крайкування кутів, радіусів, стяжок білим клеєм (плит вис. глянцю та глиб. текстури)",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_uglov_radiusov_styazhek_belym_kleem_plit_vys_glyantsa_i_glub_tekst_/,174.0,True,True,33,0,no_full_description,active; smallest id among highest-ranked rows,identical,2,low
61790,8a129fee-3036-4e7b-b26b-0688f60c622b,d89a316e-a553-403d-8cda-a19acfc4505f,duplicate,"Крайкування кутів, радіусів, стяжок білим клеєм (плит вис. глянцю та глиб. текстури)",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_uglov_radiusov_styazhek_belym_kleem_plit_vys_glyantsa_i_glub_tekst_/,174.0,True,True,33,0,no_full_description,duplicate of 8a129fee-3036-4e7b-b26b-0688f60c622b,identical,2,low
61791,754b7469-af3c-401a-8747-76b340031659,754b7469-af3c-401a-8747-76b340031659,canonical,"Крайкування кутів, радіусів стяжок білим клеєм",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_uglov_radiusov_styazhek_belym_kleem/,145.98,True,True,33,0,no_full_description,active; smallest id among highest-ranked rows,identical,2,low
61791,754b7469-af3c-401a-8747-76b340031659,f855876d-3e9b-4d8c-b914-b546fafe8fc6,duplicate,"Крайкування кутів, радіусів стяжок білим клеєм",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_uglov_radiusov_styazhek_belym_kleem/,145.98,True,True,33,0,no_full_description,duplicate of 754b7469-af3c-401a-8747-76b340031659,identical,2,low
68979,a3308f21-5193-4dc8-870d-2e3e68cbbcc2,a3308f21-5193-4dc8-870d-2e3e68cbbcc2,canonical,"Крайкування кутів, радіусів мінім. (до 200мм)",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_uglov_radiusov_minim_do_200mm/,111.96,True,True,33,547,parsed,active; has full_description; rules_parse_status=parsed; smallest id among highest-ranked rows,identical,2,low
